Tweet,Class,Polarity,Agreement,Subjectivity,Confidence,Irony,Anger,Joy,Fear,Sadness,Surprise
@prachtlamas Danke das werde ich bestimmt in nächster Zeit mal tun. Schönen Abend! :),1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,1.61316469312,67.785012722,5.7529386133,2.28157117963,22.5673109293
@valdarcala please follow me,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,21.3766515255,15.0348544121,23.4109207988,33.6531162262,6.52446001768
@cydneypoppins2 Now is the time. Needs are great but your possibilities are greater. - Bill Blackman,1,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,26.786378026,17.2958806157,32.3388636112,22.9213148355,0.657561700791
@biebertherapper We make a living by what we get we make a life by what we give. - Winston Churchill,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,16.0358861089,16.9557720423,16.7545244098,43.3746695518,6.87914788723
Ended the day in a and note fukk you,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,9.57996100187,19.9085786939,10.5401627719,19.4644153118,40.5068814754
RT @Metro_TV: Gerald Pangkali: Kita Kembali kepada Kinerja Wasit   http://t.co/Dtr7jIpBor,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,11.2634509802,8.17492976785,23.9824593067,52.8189837933,3.76017466187
Why do people act like LeBron was the first person to do the powder toss?,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,56.117016077,1.0253588669,10.295201838,27.5817543268,4.98066619039
A leader has the vision and conviction that a dream can be achieved. He inspires the power and energy to get it done. - Ralph Lauren,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,12.4745301902,38.0073189735,30.389291048,18.2119175792,0.916943605989
@ngxinyyu Nothing not even sheer ability can make up for the dedication required for a successful business career. - Ray Eppert,1,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,15.7383024693,24.0911409259,18.760445714,23.1602758169,18.2498306036
@NJoshuaDart very cool,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,17.1301528811,20.9311634302,15.25952667,14.40064013,32.2785198689
@liveyoucaique awsome,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,12.5297427177,21.4696705341,18.6146497726,14.1542494297,33.2316875458
@GarrettArt Whatever advice you give be brief. - Horace,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,30.2249521017,12.522688508,32.5547724962,16.7758852243,7.92170614004
What must i do to make you understand...??,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,56.4809083939,2.33772899956,23.0555593967,14.5272105932,3.59859988093
@M_Gutowsky Mir geht's gut! :) Und bei dir auch alles okay?,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,1.85829512775,23.7316653132,46.2225556374,4.31380420923,23.8736778498
@kotetu5000 @brave03 リツイート解除じゃなくて連携解除しなさいよwwwww,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,7.99086689949,20.3533321619,14.2781332135,11.1852057278,46.1924642324
@LaunchBubble nice...,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,11.6073101759,18.8211023808,17.7267387509,15.599489212,36.24535501
A life without love is like a year without summer. - Swedish Proverb,1,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,6.76851794124,35.4043781757,3.87188158929,49.1791903973,4.77603040636
one.,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,21.2322443724,20.1974481344,23.3144804835,16.6323021054,18.6235278845
The time is always right to do what is right. - Martin Luther King Jr.,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,25.8024185896,18.4933647513,12.9090636969,14.1217797995,28.6733746529
@2200GRAMS Where your talents and the needs of the world cross lies your calling. - Aristotle,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,43.3420419693,5.05527481437,11.6184920073,37.2015863657,2.78260502964
No logic whatsoever but the music was good good editors. @emafabolous: @ImrKil It SUCKS!,1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,10.8629152179,19.5866942406,3.79562601447,27.4774849415,38.2772803307
Improvement begins with I. - Arnold . Glasgow,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,2.71448548883,50.1457154751,33.7541520596,5.44016882777,7.94547796249
@CHOCOICE_JINRYU Please follow me,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,18.0590718985,16.2730634212,23.8577306271,33.1979572773,8.61217752099
Everybody watching drumline???,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,21.3637560606,7.24135935307,23.4129235148,30.8463722467,17.1355873346
@dmarc_24 Cool page,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,39.7452026606,12.8305733204,10.8505815268,16.8555393815,19.7181016207
When everything seems to be going against you remember that the airplane takes off against the wind not with it. - Henry Ford,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,51.8029749393,3.69979664683,15.1654422283,27.6014447212,1.73034220934
@UnlovedTrash T-Trubbish..? Tom floated right above where he hid with a curious look.,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,9.67308878899,6.85226172209,34.8746567965,24.9233752489,23.6766159534
when you're lonely all you gotta do is call me. you know you're my one and only. come next to me lemme take you on a journey ?,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,18.7964975834,5.0125002861,19.9660181999,46.4141637087,9.8108202219
RT @JenSelter: Can't sleep,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,27.7492374182,20.5127090216,25.3276050091,18.9575940371,7.45285227895
I won't reply to you if you send one word texts so don't get mad at me for not replying when you're the one who's one wording me.,1,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,86.2070918083,0.352673744783,3.73187623918,9.44303721189,0.265329750255
The more reasons you have for achieving your goal the more determined you will become. - Brian Tracy,1,P+,AGREEMENT,OBJECTIVE,98,NONIRONIC,11.6858586669,21.4152485132,18.8611954451,39.1167998314,8.9208997786
@gangrenadiario WOW,1,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,12.60599792,15.5701115727,16.3434833288,14.9269431829,40.5534625053
If you have choices choose the best. If you have no choice do the best.,1,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,18.0010065436,20.7239747047,18.5888618231,26.3329207897,16.3532376289
@metalinsider you're awesome,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,4.53113541007,30.6419342756,4.94655296206,4.93443831801,54.9459338188
@Herostrain The superior man is modest in his speech but exceeds in his actions. - Confucius,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,14.8947685957,7.74642750621,38.4554356337,33.3589017391,5.54446391761
if you loved me you would be here with me...,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,21.6114372015,5.72955682874,12.0874166489,56.8171143532,3.75447571278
@staticinverona It's simple ... go the extra mile and you will stand out from the crowd. - Robin Crow,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,44.2968338728,10.8218163252,16.4727374911,27.2545963526,1.15401409566
@Rahmawati765 wow,1,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,12.60599792,15.5701115727,16.3434833288,14.9269431829,40.5534625053
That's the pussy step dad shit I be talking about.... If it wasn't for my mom we would've been threw the hands,1,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,55.2866339684,0.930671393871,8.01373422146,31.2348872423,4.534073174
That's my issue.,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,37.9000782967,11.6433829069,25.7469594479,19.1129073501,5.59667237103
“@Dammm_sunny: @kiddklassik lol well u gon be whatever I call u lol I got another name but imma Dave that for later lol”,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,2.85877920687,11.7283910513,7.72364735603,43.5594439507,34.1297358274
LOL habang gumagawa ng project? Nico yan ihh. Haha,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,11.9445353746,23.6138850451,18.0065587163,17.6751613617,28.7598580122
@Ari_Communism It is a rough road that leads to the heights of greatness. - Seneca,1,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,22.5888907909,12.9899978638,15.090662241,39.6083831787,9.72206965089
?????,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,19.6987241507,16.8163284659,26.6351550817,15.8451884985,21.0045993328
Shower w music is ??????,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,11.5426123142,8.35630148649,8.17036777735,6.14030733705,65.7904148102
@keri843 cool page.,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,24.7316926718,19.6268230677,14.4203096628,17.9654464126,23.2557266951
You know ashton's hair in that keek when he's wearing the pony and in catering again bc i want that fUCKING HAIR AGAIN,1,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,56.080365181,6.29097670317,6.66537284851,20.8663418889,10.0969418883
I met with my wonderful daughter yesterday. She is expecting twins in June and I felt her babes kicking. What a great experience. #proudpapa,1,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.444925483316,31.9846689701,4.31201830506,2.35508792102,60.9032988548
Top 3 music videos of the year so far:,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,5.87109848857,32.2712570429,6.41622543335,41.9086247683,13.532795012
@fucksahara Do not wait for leaders; do it alone person to person. - Mother Teresa,1,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,17.3441529274,5.13858795166,8.96423906088,61.5917265415,6.96129575372
@godsangell We will either find a way or make one. - Hannibal,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,19.2315325141,11.3800518215,56.6103219986,11.3483607769,1.4297330752
Never let other ppl tell you what to think or believe gotta find things out for yourself ya kno.,1,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,21.1490094662,2.2987857461,16.2505567074,33.7634325027,26.5382140875
RT @ConanOBrien: Let’s just agree any group of 3 or more handsome British men should be referred to as a “cumberbatch.”,1,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,28.7330925465,7.93816447258,15.0582179427,38.423281908,9.84724462032
@Diana050399 nice!,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,8.76158326864,28.3885985613,11.1557662487,7.28015229106,44.4139003754
@Enide_Ghost What's wrong with that...? You.. Look really cute..,1,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,8.83365646005,4.33514602482,17.6840901375,36.385551095,32.7615559101
Improve your spare moments and they will become the brightest gems in your life. - Ralph Waldo Emerson,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,9.74220335484,49.5805025101,7.31960535049,30.6067407131,2.75094471872
@chrizzyjordvn If opportunity doesn't knock build a door. - Milton Berle,1,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,25.8938938379,5.84076456726,34.5556199551,21.6512352228,12.0584815741
@BigGhostLtd ahh,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,13.4855538607,20.2590242028,28.0962437391,13.655076921,24.5041027665
@PatDhat you're awesome,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,4.53113541007,30.6419342756,4.94655296206,4.93443831801,54.9459338188
@_FlyBoiErrey Please follow me,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,24.4085878134,13.0288437009,19.8330581188,37.7994447947,4.93006110191
@OnlyMe_Brianna !,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,10.5149760842,26.9042313099,8.97045433521,9.33340340853,44.2769378424
why am I awake and why am I in my feelings,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,40.9844994545,3.92859950662,11.7401242256,37.5509917736,5.79578205943
If we do not plant knowledge when young it will give us no shade when we are old. - Lord Chesterfield,1,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,33.7319761515,5.84475286305,18.0342376232,39.1142189503,3.27481925488
RT @NylonMag: How @itsmeleighton is putting @gossipgirl behind her: http://t.co/agh8YPSG9r http://t.co/5NXd14sX41,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,14.6108716726,3.1362593174,29.3117761612,52.0804166794,0.860680639744
@Cimot_Kepo The question isn't who is going to let me; it's who is going to stop me. - Ayn Rand,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,29.1083395481,6.64213001728,18.4395954013,22.6143807173,23.1955528259
what i would give to be in portugal right now,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,25.3812879324,6.51181340218,20.2480703592,39.0917629004,8.76705944538
@heyshaf NICE,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,11.8606090546,20.9688872099,16.6845262051,12.5530198216,37.932959199
Just got the email back regarding job #2...,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,10.8037218451,18.6185061932,57.440507412,10.9083503485,2.22891010344
Good ting Rap Genius doh cover soca music cuz dey woulda have a hard time decipherin this song #BMT,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,13.0264759064,17.0542493463,5.31115159392,37.5861376524,27.0219832659
Believe deep down in your heart that you're destined to do great things. - Joe Paterno,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,11.8360042572,26.5189796686,10.3870749474,33.5285514593,17.7293866873
@NeikoDeBarge awsome,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,12.5297427177,21.4696705341,18.6146497726,14.1542494297,33.2316875458
@WichoBeatz you're awesome,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,4.53113541007,30.6419342756,4.94655296206,4.93443831801,54.9459338188
FALAR,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,18.6567470431,21.2485700846,22.2377568483,15.9221872687,21.9347387552
@Under_5ft You must take action now that will move you towards your goals. Develop a sense of urgency in your life. - Les Brown,1,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,12.8044694662,34.6732258797,17.3757344484,30.0427079201,5.1038607955
@Pyfbrown Faith is taking the first step even when you don't see the whole staircase. - Martin Luther King Jr.,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,8.24940502644,20.5368429422,25.125348568,20.9073066711,25.1811027527
@iamkmh_sc BI EKTIP PLS~,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,16.4605468512,24.3679225445,22.5249141455,26.9020974636,9.74451601505
My best song for feb was definitely Nosa's always on my mind,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,18.7939763069,25.8821934462,12.9182130098,28.0586957932,14.3469199538
@54j33dh4 Believe and act as if it were impossible to fail. - Charles F. Kettering,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,38.3683145046,3.03857028484,20.9116056561,35.9455168247,1.73599198461
@5secs0fparam0re hi,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,14.2406731844,19.2945882678,21.7160075903,16.4956435561,28.2530903816
@amirxkhld_ NICE,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,11.5747064352,19.41960603,13.3029088378,11.0646821558,44.638094306
Nothing is more expensive than a missed opportunity. - . Jackson Brown,1,P+,AGREEMENT,SUBJECTIVE,90,NONIRONIC,11.0757961869,9.32739526033,9.05730873346,56.9432735443,13.5962232947
@soal_KPOP He who is not courageous enough to take risks will accomplish nothing in life. - Muhammad Ali,1,N,AGREEMENT,SUBJECTIVE,97,NONIRONIC,13.3273631334,9.05235931277,8.84956642985,58.6446046829,10.1261094213
@MOHANEDAHMED_ f4f please!,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,34.1229617596,16.3455694914,31.3982397318,12.3362228274,5.79700693488
@LA_Promoter Ambition has one heel nailed in well though she stretch her fingers to touch the heavens. - Lao Tzu,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,18.1408196688,24.7827589512,25.7547050714,27.3555785418,3.9661385119
RT @AlAnba_News_KW: بالصور.. تعرف على أفخم الوحدات السكنية في الإمارات  http://t.co/313yVVF0qK,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,8.8828869164,2.26580947638,48.1914460659,40.1942849159,0.465571228415
@wesnakedd I began learning long ago that those who are happiest are those who do the most for others. - Booker T. Washington,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,15.6617477536,26.6823470592,16.5856942534,24.9046832323,16.1655247211
When your going through a rough time and you are pushed down to your knees you are in the perfect position to pray...,1,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,13.2205680013,3.69442328811,51.077580452,30.346262455,1.66116431355
I'm on one of those moods where I really want to listen to music but I can't find the right song. Hhhh.,1,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,60.8303487301,2.43471190333,10.9438933432,23.8512217999,1.93982422352
@victoriaxdelrio The less you open your heart to others the more your heart suffers. - Deepak Chopra,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,8.65152031183,13.5424047709,38.2836580276,38.2368445396,1.28557449207
RT @marktonythought: This Guy Decided To Cheat On His Girlfriend. What She Did About It Is EPIC,1,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,6.16061389446,5.35986237228,4.76046279073,16.9725000858,66.7465686798
@Danny_Peru Happiness is found in doing not merely possessing. - Napoleon Hill,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,2.64724772424,43.3559119701,5.0339370966,15.0500893593,33.9128196239
Man Cakes The Fuk Up,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,17.5646901131,31.7078828812,6.06368742883,20.1841533184,24.479585886
@Brad88ford Instinct is untaught ability. - Alexander Bain,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,18.8528209925,15.1817202568,17.7075535059,20.5047249794,27.7531802654
I aim to high thus I get denied,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,19.8737487197,7.95665308833,30.3409904242,39.8848414421,1.94376874715
This Old Ass Song.,1,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,67.9072439671,2.3173622787,3.55470478535,17.9843127728,8.23637396097
Where the hell is all the fun at and why am I not there,1,P,AGREEMENT,SUBJECTIVE,97,NONIRONIC,39.5887136459,4.32643704116,10.7683643699,38.6998742819,6.61661028862
@MlNlON Even a mistake may turn out to be the one thing necessary to a worthwhile achievement. - Henry Ford,1,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,27.1336048841,12.6486301422,11.1573770642,37.9458844662,11.114499718
RT @rioferdy5: BIG morning session done in the gym.. Now aboard flight to #Dublin to see you all later at @easons for my #2Sides book signi…,1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,3.0821884051,44.7661161423,14.9277880788,11.4283069968,25.7956027985
@weeshawnaMarie Strength lies in differences not in similarities. - Stephen Covey,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,21.0075512528,4.7882642597,26.9702315331,38.0867004395,9.14725139737
RT @Penampilanku: Jika anda mengingikan sesuatu yang belum anda miliki maka anda akan harus melakukan sesuatu yg belum pernah anda lakukan,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,11.606208235,28.998208046,14.3582612276,25.2493202686,19.7880089283
Winter always turns into spring. - Nichiren,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,23.8728404045,25.3770202398,21.7395156622,24.0412920713,4.96933422983
i really like that studio song a lot.,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,24.9116718769,15.9983173013,15.123334527,27.5957643986,16.370908916
@dalyjailene cool,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,17.008151114,18.2300537825,19.5346653461,15.4217481613,29.8053741455
Doing your best is more important than being your best. - Shannon Miller,1,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,1.26016624272,13.6334955692,2.19762958586,5.51521740854,77.3934841156
Listening to music til I k.o,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,8.9302405715,20.8584904671,18.3104932308,8.42660814524,43.4741675854
Like if reading off power points is all they're going to do then I'm 100% qualified to be a teacher,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,50.4155635834,7.62826502323,12.8891855478,16.5258511901,12.5411376357
@believfever wow,1,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,12.60599792,15.5701115727,16.3434833288,14.9269431829,40.5534625053
@Tyalll hi,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,14.2406731844,19.2945882678,21.7160075903,16.4956435561,28.2530903816
@JustinC27 wow,1,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,12.60599792,15.5701115727,16.3434833288,14.9269431829,40.5534625053
FIND OUT ABOUT THE #SEXY #MONESHAJONES AKA @MO_BUDDA HERE==&gt; http://t.co/3BdoLSq80u #RAPPER #MODEL #BIGGBOYMANAGEMENT,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,12.1079534292,8.93719568849,30.2308768034,47.1134781837,1.61049030721
#killzoneshadowfall is a gorgeous game worth 39.99 lol #ps4,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,2.90903374553,75.5467176437,6.97540491819,9.16314199567,5.40570430458
@HellaDankRec You must not only aim right but draw the bow with all your might. - Henry David Thoreau,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,10.300219059,9.5373749733,11.4527225494,30.9575200081,37.7521634102
@YongeGrove Anyone who angers you conquers you. - Elizabeth Kenny,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,29.2454242706,4.8572063446,4.46326360106,45.8010494709,15.633058548
@STAR_SO_SILLY People rarely succeed unless they have fun in what they are doing. - Dale Carnegie,1,P,AGREEMENT,OBJECTIVE,97,NONIRONIC,50.5930960178,4.74771521986,4.98585030437,29.6718716621,10.0014649332
Never has it felt so good to lie down,1,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,6.99903294444,27.8825819492,9.53899174929,34.7083806992,20.8710163832
@nicholasjtait Give your dreams all you've got and you'll be amazed at the energy that comes out of you. - William James,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,4.17769514024,33.4315538406,5.84193840623,15.3782144189,41.1705970764
Remember happiness doesn't depend upon who you are or what you have; it depends solely on what you think. - Dale Carnegie,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,17.9310575128,15.5171722174,36.6763561964,23.9990383387,5.87637871504
West coast team tournament here we goooooooooooooo,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,2.76779159904,32.6516032219,55.3350448608,7.77481198311,1.47075336426
*Dad walks out and looks at my Jeep*,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,17.2248393297,27.9545664787,11.0972121358,35.9989821911,7.72439837456
@grussell903 amazing,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,9.93622839451,26.5800118446,15.1501446962,11.1015595496,37.2320532799
@ravithambip cool,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,17.008151114,18.2300537825,19.5346653461,15.4217481613,29.8053741455
@Willgmusic very cool,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,17.1301528811,20.9311634302,15.25952667,14.40064013,32.2785198689
Jay must have been in love more with the girl he sang about on Song Cry than he is with B now.,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,6.67281672359,8.92405807972,3.74477729201,63.1449699402,17.513383925
@Homebwoi Remember that not getting what you want is sometimes a wonderful stroke of luck. - Dalai Lama,1,N+,AGREEMENT,SUBJECTIVE,89,NONIRONIC,10.9226584435,29.488658905,35.7977390289,16.0110235214,7.77992606163
@http_indie Cleverness is not wisdom. - Euripides,1,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,22.2796082497,4.61888723075,44.6705281734,18.020324409,10.4106575251
I put my heart and my soul into my work and have lost my mind in the process. - Vincent Van Gogh,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,9.14224684238,12.4882213771,53.6809802055,23.990637064,0.697909295559
A person can succeed at anything for which there is enthusiasm. - Charles M. Schwab,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,20.7053035498,29.3651342392,15.3687417507,24.5209351182,10.0398905575
We have a right to do what we want.,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,27.8409034014,9.26056280732,41.5747970343,14.0249758959,7.2987601161
Do not bring me your successes; they weaken me. Bring me your problems; they strengthen me. - Anonymous,1,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,39.6459132433,6.55835047364,15.4886931181,34.9016934633,3.40534895658
I love those hugs where you just don't want to let go.,1,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,37.9084318876,8.2949668169,16.008245945,35.3517830372,2.43657194078
@JairWoo very cool,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,17.1301528811,20.9311634302,15.25952667,14.40064013,32.2785198689
You could see a homeless lightskin and she'll still be classy.,1,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,13.3241042495,10.1855605841,8.63377153873,62.7726554871,5.08390702307
I am the greatest I said that even before I knew I was. - Muhammad Ali,1,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,4.45508509874,10.759665072,7.72888660431,52.6207447052,24.4356185198
@aggregate_music Wishing to be friends is quick work but friendship is a slow ripening fruit. - Aristotle,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,24.6844366193,9.57019478083,7.14848637581,48.0575412512,10.5393461883
@REVERBPROM0 You can't turn back the clock. But you can wind it up again. - Bonnie Prudden,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,47.3436594009,8.91074091196,16.0377711058,24.2135226727,3.49430851638
